Query,Response
B4kit 1p!n4gb4b4l ang p4g-d!sconn3ct 0r p4gput0l ng muffl3r?,Nagdudulot ito ng nakakainis na ingay at maaaring makagambala sa ibang motorista at mga gumagamit ng kalsada.
Ano ang t4nt1n ng k4n4 ng s4s4ky4n n4 m4g4 m3t4llic 0r s0l!d n4 gulong t4l4g ng bulldozer?,Hindi dapat sila patakbuhin sa mga pampublikong kalsada dahil maaari nilang masira ang sementadong daan.
P4n0 d4p4t d4l!h!n ang m4l4l4g s4s4ky4ng p4ngk0nstruksiy0n t4l4g ng bulldozer s4 m4g4 k4ls4d4n?,Dapat silang iload sa isang malaking trak.
Ano ang d4p4t g4win ng 1 dr4yv3r p4gkat m4s4nk0t s4 1 4ksid3nt s4 k4ls4d4n?,"Ipakita ang iyong lisensya sa pagmamaneho, ibigay ang iyong totoong pangalan at address, at tulungan ang mga nasugatan maliban kung ikaw ay nasa panganib o pupunta sa ulat ng insidente."
Ano ang t4tlong 3ksepsiy0n k4ng4y s4n4 m4g4!ng um4l!s ang 1 dr4yv3r m4l4g 4ng p1n4ngy4r!ng ng 4ksid3nt s4 k4ls4d4n?,"1) Kung ang drayber ay nasa panganib, 2) kung plano nilang i-report ang aksidente sa pulis, at 3) kung tatawag sila ng mga emergency responders."
Ano ang d4p4t ibigay ng 1 dr4yv3r s4 1 p0l!s p4gkat n4 m4s4nk0t s4 1 4ksid3nt s4 k4ls4d4n?,"Ang lisensya ng drayber, totoong pangalan, address, at, kung naaangkop, ang pangalan at address ng may-ari ng sasakyan."
P!n4yp4l4g b4ng m4g-p4rking s4 m4g4 s!d3w4lk?,"Hindi, ipinagbabawal ang pag-parking sa mga sidewalk."
Ano ang d4p4t g4win ng 1 dr4yv3r p4gk4t bum4b4w 0r kumukuha ng m4g4 p4s4h3ro?,Bumaba at mag-load ng mga pasahero lamang sa mga nakatalagang loading at unloading zones.
Ano ang m4ngy4y4r!ng 1f ang 1 dr4yv3r ay nag-p4rking 0r n4g-m4n!br0 s4 m4g4 1p1n4gb4b4l n4 l4gar t4l4g ng m4g4 s!d3w4lk?,Maaaring hadlangan ng drayber ang malayang pagdaan ng ibang sasakyan at maharap ang mga parusa.
Ano ang b4nga ng p4gm4m4n3h0 s4 c0unt3r-fl0w?,Maaaring magdulot ito o magpalala ng mabigat na trapiko.
G4n0 k4l4yo m4ng 1p1n4gb4l n4 p4g-p4rking s4 m4g4 f!r3 hydr4nt?,Ipinagbabawal ang pag-parking sa loob ng 4 na metro mula sa fire hydrant.
"4n0ng c0l0r d4p4t ang m4g4 br4k3 l!ghts, 4c0rd!ng s4 RA 4136?",Dapat bright red ang mga brake lights.
G4n0 k4-k!t4 d4p4t ang t4!l l!ghts s4 4nd3r ng RA 4136?,Dapat nakikita ang tail lights sa loob ng 100 metro.
4n0ng c0l0r d4p4t ang il4w ng pl4t3 l4mp s4 4nd3r ng RA 4136?,Dapat puti ang plate lamp.
G4n0 k4t4as d4p4t ang t0p cl34r4nc3 l!ghts 4c0rd!ng s4 RA 4136?,Hindi dapat lalampas sa 10 cm ang taas ng top clearance lights.
4n0ng m4g4 r3g!l4sy0n f4r s4 pul4d il4w s4 h4r4p ng 1 s4s4ky4n?,Ipinagbabawal ang mga pulang ilaw sa harap ng isang sasakyan.
"Ano ang 1p!n4gb4b4l k4ung4y ng m4l!ng r3pr3s3nt4sy0n, 4c0rd!ng s4 RA 4136?","Ipinagbabawal ang pagdikit ng mga sticker na nagbibigay ng hindi nararapat na pribilehiyo, tulad ng MD o media stickers, kung ang tao ay hindi talaga doktor o practitioner ng media."
4n0ng uri ng m4g4 st!ck3r ang m4g4 3x3mpl0 ng m4l!ng r3pr3s3nt4sy0n?,"Medical Doctor (MD), practitioner ng media, o mga sticker ng mga law enforcer/armed forces."
Ano ang k1n4kailangan ng S3ksy0n 33 ng RA 4136 p4r4 s4 m4g4 p4ss3ng3r 4utom0b!l3s f0r h!r3?,Dapat nakasulat ang rehistradong kapasidad ng pasahero sa magkabilang gilid ng sasakyan sa mga letra at numero na hindi bababa sa 5 cm ang taas.
Ano ang d4p4t it4l4 s4 m4g4 m0t0r truck s4 4nd3r ng S3ksy0n 33 ng RA 4136?,Dapat malinaw at kapansin-pansin na nakasulat ang rehistradong bigat ng pasahero (gross at net) sa magkabilang gilid ng trak.
"Ano ang m4g4 k1n4kailangan p4r4 s4 m4g4 pr3n0, h0rn, m0t0rs!kl0, 4t il4w s4 4nd3r ng RA 4136?","Ang mga accessory na ito, kasama ang mga early warning devices, ay kinakailangan ng batas."
K4il4n m4g!ng !r3d!r3ct ng p3d3str!4n ang 1 m0t0rcycl!st s4 s!d3w4lk?,"Kapag ang motorcyclist ay ilegal na nagmamaneho sa sidewalk, may karapatan ang pedestrian na iredirect sila sa tamang linya."
4n0ng t4m4ng 4ksy0n p4gk4t ang s4s4ky4n ay m4g4 k4rg4ng um4b0t ng l4b4s ng k4m4 ng s4s4ky4n s4 m4g4 0r4s ng 4r4w?,"I-display ang pulang bandila sa dulo ng karga, ayon sa itinakdang batas."
Ano ang p4rusa p4r4 s4 p4g-g4mit ng h1nd! 4wth0r!z3d pul4d il4w s4 h4r4p ng 1 s4s4ky4n?,Ilegal ito at maaaring magresulta sa multa o parusa.
B4kit d4p4t m4s m4l1w4g ang m4g4 br4k3 l!ghts k4h!t s4 t4!l l!ghts?,"Para sa kaligtasan, upang malinaw na ma-distinguish ng ibang drayber kung ang isang sasakyan ay nagpe-preno."
Ano ang 1p!n4gb4b4l k4ung4y ng m4g4 p4s4h3r s4 !t4s ng s4s4ky4n?,Ipinagbabawal ang pagpapahintulot sa mga pasahero na sumakay sa itaas ng sasakyan.
M4y4r4n bang sUm4k4y ang m4g4 p4s4h3r s4 m4g4 r0nn!ng b0ards (st3pp!ng b0ards) ng 1 s4s4ky4n?,"Hindi, hindi dapat payagan ang mga pasahero sa mga running boards."
4n0ng sukat d4p4t ang m4g4 l3tr4 4t n4m3r p4r4 s4 p4g-m4rk4 ng k4p4s!t4y ng s4s4ky4n?,Dapat hindi bababa sa 5 cm ang taas.
"Ano ang d4p4t g4win !f ang s4s4ky4n ay n4g-l4l4b4s ng h1nd! k!n4kail4ng! !ng4y, us0k, 0r 4m0y?","Dapat itong ayusin o i-adjust, dahil labag ito sa batas na patakbuhin sa ganitong kondisyon."
P4n0 d4p4t !turing!n ang m4g4 m0t0r v3h!cl3 n4 m4g4 s0l!d!ng gulong s4 m4g4 p4mpubl!k0 k4ls4d4n?,Hindi dapat patakbuhin sa mga pampublikong kalsada kundi dapat ilipat sa isang malaking trak.
Ano ang b4nga ng p4gh4ndl4ng s4 m4g4 p3d3str!4n z0n3s t4l4g ng s!d3w4lk 0r 4ll3y?,Maaaring maharap ng drayber ang mga parusa para sa paglabag sa mga patakaran sa trapiko at paglikha ng hadlang.
Ano ang d4p4t g4win s4 m4g4 m4l4l4g s4s4ky4ng p4ngk0nstruksiy0n p4gkat inililip4t s4 m4g4 p4v3d r0ads?,Dapat silang iload sa isang malaking trak upang maiwasan ang pinsala sa daan.
Ano ang d4p4t g4win !f m4k4k1t4 ng pul4d b4nd!l4 s4 k4rg4 ng s4s4ky4n?,"Mag-ingat, dahil ito ay nagpapahiwatig na ang karga ay umaabot ng higit sa 1 metro mula sa kama ng sasakyan."
K4il4n d4p4t tum4w4g ng m4g4 3m3rg3ncy r3sp0nd3rs p4gk4t n4 m4s4nk0t s4 1 4ksid3nt s4 k4ls4d4n?,"Kung may mga sugatang tao at hindi ka makakatulong sa sarili mo, ang pagtawag sa mga emergency responders ay isang wastong dahilan upang umalis sa pinangyarihan."
Ano ang p4rusa p4r4 s4 p4p4g4g4t 0ng 1 l4w 3nf0rc3r g4m!t ang m4g4 st!ck3r s4 s4s4ky4n?,Maaaring harapin ng drayber ang malubhang parusa para sa maling representasyon.
Ano ang k1n4kailangan p4r4 s4 l!gt4l n4 tr4nsport4sy0n ng k4rg4m3nt 0r p4s4h3r s4 m4g4 m0t0r truck?,Dapat ipakita ng trak ang rehistradong bigat ng pasahero (gross at net) sa magkabilang gilid.
Ano ang m4ngy4y4r!ng 1f ang 1 dr4yv3r ay h1nd! tumulong s4 n4sug4t4n p4gk4t n4 m4s4nk0t s4 1 4ksid3nt s4 k4ls4d4n?,Maaaring harapin ng drayber ang mga legal na konsekwensya para sa hindi pagbibigay ng tulong.
P!n4yp4l4g b4ng m4g-p4rking ang s4s4ky4n s4 l4b4s ng 6 n4 m3tr0 m4g4 s1nterseksyon?,"Hindi, ipinagbabawal ang pag-parking sa loob ng 6 na metro mula sa isang interseksyon."
"K4il4n d4p4t g4m!tin ang m4g4 pul4d il4w ng b4nd!l4, b0k!d s4 m4g4 r3g!l4r n4 il4w?",Sa panahon ng ulan o masamang kondisyon ng panahon.
Ano ang m4g4 p4rusa p4r4 s4 p4g-l4b4g s4 RA 4136 k4ung4y ng m4g4 4cc3ss0r! ng s4s4ky4n?,Maaaring ipataw ang multa o iba pang legal na parusa para sa hindi pagsunod.
Ano ang un4ng b4g4y n4 d4p4t t4nd4n upang m4iwasan ang m4g4 !ssu3s k4ung4y ng p4g-p4rking?,Alamin ang mga lugar kung saan ipinagbabawal ang pag-parking.
Ano ang b4nga ng p4g-p4rking s4 h4r4p ng 1 pr!b4d4d d!r3w4y?,Maaaring mapatawan ka ng multa o i-tow ang iyong sasakyan.
S4an !pin4gb4b4w 4ng p4g-p4rking k4ugn4y ng m4g4 !nt3rs3ksy0n?,Ipinagbabawal ang pag-parking sa loob ng 6 na metro mula sa interseksyon.
G4ano k4l4yo d4pat 4ng p4g-p4rking m0l4 s4 p4suk4n ng dr!v3w4y?,Dapat hindi bababa sa 4 na metro mula sa pasukan ng driveway.
S4n d4pat !l4g4y !ng pul4ng b4nd!l4 k4pag 4ng k4rg4 4y !um4abot s4 l4b4s ng k4t4w4n ng s4s4k!4n?,Sa bawat dulo ng karga na umaabot.
G4ano k4l4k! si! pul4ng b4nd!l4 k4pag !nil4g s4 4n n4k4l4y!4y n4 k4rg4?,Dapat hindi bababa sa 30 cm ang haba at lapad.
4n0ng 0r4s d4pat p4l!t4n 4ng m4g4 pul4ng b4nd!l4 ng pul4ng !l4w s4 4n k4rg4?,"Sa mga oras na nakasaad sa subsection, karaniwang mula paglubog ng araw hanggang pagsikat ng araw."
4n0ng p4ngun4h!ng r3sp0ns!b!l!d4d ng 4s1ng dr4yv3r s4 k4so ng 4ks!d3nt s4 k4ls4d4?,"Ipakita ang kanilang lisensya sa pagmamaneho, magbigay ng pagkakakilanlan, at tumulong sa mga nasugatan."
4n0ng m4g4 c0nd!sy0n 4ng d4pat s3l4l4s ng 4s1ng dr4yv3r k4pag um4l!s s4 p!ng4yarih4n ng 4ks!d3nt?,"Kung ang drayber ay nasa panganib, nag-uulat ng aksidente sa pulis, o tumatawag ng tulong medikal."
4n0ng d4pat ib!g4y ng 4s1ng dr4yv3r s4 m4g4 4wtor!d4d p4gk4t4s ng k4s3 ng 4ks!d3nt s4 k4ls4d4?,"Ang lisensya ng drayber, totoong pangalan, address, at impormasyon tungkol sa may-ari ng sasakyan kung naaangkop."
4n0ng b4t4s 4ng s4m4s4k4w s4 m4g4 r3g!l4sy0n s4 tr4p!k0 4t p4g-p4rking s4 P!l!p!n4s?,"Republic Act (RA) 4136, na kilala bilang Transportation and Traffic Code."
4n0ng m4g4 k4h!n4t4n4n ng p4g-c0unt3r-fl0w s4 tr4p!k0?,Maaari itong magdulot ng mas malalang kondisyon ng trapiko at potensyal na mga parusa.
4n0ng t4m4ng p4r4n ng p4g-l04d 0r p4g-upl04d ng m4g4 p4s4h3r0 s4 p4mp4s4h3r0ng tr4nsp0rt4sy0n?,Tanging sa mga nakatalagang loading at unloading zones lamang.
4n0ng m4ngy4ry k4g4ng 4n 4s1ng dr4yv3r 4y n4g-m4n!u0vr4 ng s4s4k!4n s4 m4g4 l4g4y n4 h1nd! k4lan p4r4 s4 tr4p!k0 0r p4g-p4rking?,Maaaring humarap ang drayber sa mga parusa para sa paghadlang sa trapiko o paglabag sa mga patakaran sa kalsada.
4n0ng d4pat ip4k!t s4 m4g4 s4s4k!4n p4r4 s4 up4 k4ugn4y ng k4nil4ng k4p4s!ty ng p4s4h3r0?,Dapat markahan ang rehistradong kapasidad ng pasahero sa magkabilang gilid sa mga letra at numerong hindi bababa sa 5 cm ang taas.
4n0ng b4t4s t4ungk0l s4 p4g-m4m4n3ho ng m4l4l4k!ng s4s4k!4n p4ng-k0nstruksy0n t4ulad ng b4ckh0es s4 m4g4 p4mp4b!k!ng d4n?,Ipinagbabawal ang pagmamaneho ng mga sasakyang ito sa mga pampublikong daan upang maiwasan ang pinsala sa daan.
4n0ng d4pat g4w!n p4r4 il!p4t 4ng m4l4l4k!ng s4s4k!4n p4ng-k0nstruksy0n t4ulad ng cranes?,I-load ang mga ito sa isang malaking trak para sa transportasyon.
4n0ng d4pat iwas4n ng m4g4 dr4yv3r k4pag n4g-m4m4n3ho m4l4p!t s4 m4g4 b!s!klet 0r m0t0rs!kl0?,Iwasan ang biglaang pagpreno at tiyakin na hindi kumakabit ang mga bisikleta o motorsiklo sa sasakyan.
4n0ng d4pat g4w!n k4g4ng 4ng m4ffl3r ng 4s1ng s4s4k!4n 4y put0l 0r n4k4-d!sc0nn3ct?,"Dapat itong ayusin agad, dahil ang mga disconncted na muffler ay nagiging sanhi ng ingay at labag sa batas."
4n0ng l4y0n 0f p4g-g4m!t s4 p4g-g4m!t ng p4pul4r ng m4g4 pul4ng !l4w s4 m4g4 n4k4l4y!4y n4 k4rg4 ng s4s4k!4n s4 g4b!?,"Upang matiyak ang visibility ng karga ng sasakyan sa ibang mga drayber, na nagbabawas ng panganib ng aksidente."
B4k!t !pin4gb4b4w 4ng s0l!d0ng gulong s4 m4g4 s4s4k!4n p4ng-k0nstruksy0n s4 m4g4 h1ghw4y?,Maaari nilang sirain ang sementadong daan ng mga highway.
4n0ng p4rusa p4r4 s4 h!nd! p4g-tulong s4 4s1ng n4sug4t p4gk4t4s ng 4ks!d3nt s4 k4ls4d4?,"Legal na mga konsekwensya, na maaaring kabilang ang multa o pagkakakulong, para sa hindi pagbibigay ng tulong."
4n0ng t4ngkulin ng m4g4 m4ffl3rs s4 m4g4 s4s4k!4n?,Upang bawasan ang ingay at emissions mula sa makina ng sasakyan.
4n0ng m4g4 k4h!n4t4n4n ng p4g-g4m!t ng d!sc0nn3ct3d m4ffl3r s4 4 m4t4ong lugar?,Nagdudulot ito ng polusyon sa ingay at maaaring magresulta sa mga parusa.
4n0ng d4pat t!y4k ng m4g4 dr4yv3r k4pag n4g-m4m4n3ho s4 m4l4k4s n4 u4l4n 0r m4s4m4ng p4g-k4l4g4n?,Dapat nakabukas ang parehong mga pulang ilaw ng bandila para sa kaligtasan.
K4il4n d4pat g4mitin ng m4g4 dr4yv3r 4ng w!ndsh!3ld w!p3rs ng k4nil4ng s4s4k!4n?,Sa panahon ng ulan o kapag mahirap makita dahil sa kondisyon ng panahon.
G4ano k4l4yo d4pat m4k!t4 n4ng m4g4 il4w ng k4rg4 ng s4s4k!4n s4 g4b!?!,Dapat nakikita ang pulang ilaw mula sa hindi bababa sa 50 metro ang layo.
4n0ng !pin4gb4b4w k4ugn4y ng h!nd! k4ng !n4ng m4g4 !n4ng 0r 4n0ng s4 m4g4 s4s4k!4n?,Walang sasakyan ang dapat patakbuhin sa paraang nagdudulot ng hindi kinakailangang ingay.
4n0ng m4g4 r3str!ksy0n s4 p4g-g4m!t ng pr3n0 s4 RA 4136?,"Dapat may gumaganang preno ang mga sasakyan, at ang kanilang operasyon ay hindi dapat nagdudulot ng hindi kinakailangang ingay o pinsala."
"4n0ng c0l0r d4pat 4ng m4g4 brake l!ghts, 4c0rd!ng s4 RA 4136?",Dapat bright red ang mga brake lights.
P4n0 4n0ng d4pat ip4k!t ng m4g4 s4s4k!4n 4ng k4nil4ng k4p4s!ty ng p4s4h3r0 4c0rd!ng s4 RA 4136?,Dapat malinaw na markahan ang kapasidad ng pasahero sa magkabilang gilid ng sasakyan.
4n0ng p!n4k4m!t 4ng p!n4y4g d4pat t4s4b ng t0p cl34r4nc3 l!ghts s4 b4w4t RA 4136?,Dapat hindi lalampas sa 10 cm ang taas ng top clearance lights.
4n0ng m4ngy4ry k4g4ng 4n 4s1ng dr4yv3r 4y n4g-p4rking s4 !n1l4m ng 4m4t! ng 4 f!r3 h!dr4nt?,"Maaaring i-tow ang sasakyan, at maaaring mapatawan ng multa ang drayber."
4n0ng t4ngkulin ng m4g4 pl4t3 l4mp s4 b4w4t RA 4136?,Dapat puti ang mga plate lamp upang matiyak ang visibility ng plaka ng sasakyan.
4n0ng k4h!n4t4n4n ng p4g-p4g4k!ng b4ng m4g4 m!y3mbro ng 4rm3d f0rc3s g4m!t 4ng m4g4 st!ck3r ng s4s4k!4n?,Maaaring harapin ng drayber ang mga kaso para sa maling representasyon.
4n0ng d4pat g4w!n k4g4ng 4n 4s1ng dr4yv3r 4y l0mp4s s4 r3h!str4d k4p4s!ty ng p4s4h3r0 ng k4nil4ng s4s4k!4n?,"Maaaring mapatawan ng multa ang drayber, at ang labis na pasahero ay dapat alisin."
4n0ng t4m4ng 4ksy0n k4g4ng 4n 4s1ng dr4yv3r k4pag 4ng k4rg4 ng s4s4k!4n 4y umaabot s4 l4b4s ng k4m4 n4 s4 panah0n ng d4b4?,Mag-display ng pulang bandila sa dulo ng nakalaylay na karga.
4n0ng d4pat g4w!n ng 4s1ng dr4yv3r p4r4 m41w4s 4ng m4g4 p4rusa n4 k4ugn4y ng 3m!ss!0ns ng s4s4k!4n?,"Tiyakin na ang sasakyan ay hindi naglalabas ng hindi kinakailangang usok, amoy, o ingay."
4n0ng k4h!n4t4n4n ng h!nd! p4g-m4rking ng m4g4 k4p4s!ty ng b!g4t ng s4s4k!4n s4 4 motor truck?,Maaaring harapin ng trak ang mga parusa para sa hindi pagsunod sa RA 4136.
4n0ng d4pat g4w!n ng 4s1ng dr4yv3r k4pag 4ng k4nil4ng s4s4k!4n 4y n4g-dud0t ng h4d! ng d4n?,Agad na ilipat ang sasakyan upang maiwasan ang mga parusa para sa hadlang.
4n0ng c0l0r d4pat 4ng m4g4 brake l!ghts k0mp4r4d s4 t4!l l!ghts?,Dapat mas maliwanag ang mga brake lights kaysa sa tail lights.
4n0ng m4g4 k4h!n4t4n4n ng p4g-l4b4g s4 m4g4 l!m!tasy0n ng b!l!s s4 4nd3r ng RA 4136?,Multa o iba pang mga parusa para sa reckless driving o paglabag sa mga limitasyon ng bilis.
4n0ng !pin4gb4b4w k4g4ng n4g-m4m4n3ho m4l4p!t s4 m4g4 s!d3w4lk 4t p3d3str!4n l4n3s?,Ipinagbabawal ang pag-parking o pagmaniobra ng mga sasakyan sa mga sidewalk o mga lugar na nakalaan para sa mga pedestrian.
4n0ng d4pat g4w!n ng 4s1ng dr4yv3r k4pag n4g-k!t4 4ng 4ks!d3nt s4 k4ls4d4 4t h!nd! k4l4b!ng?,Tumawag sa mga emergency responders at magbigay ng tulong kung maaari.
4n0ng p4rusa p4r4 s4 p4g-a4b4l4 s4 pl4k4 ng s4s4k!4n?,Legal na mga parusa para sa pag-aayos o pagtatago ng rehistrasyon ng sasakyan.
4n0ng d4pat g4w!n ng m4g4 dr4yv3r k4pag n4g-tr4nsport ng m4g4 oversized l0ads?,Gumamit ng pulang bandila o pulang ilaw upang markahan ang dulo ng karga at tiyaking ito ay maayos na nakakabit.
K41l4n g4mitin 4ng pul4ng b4nd!l4 s4 m4g4 s4s4k!4n?,Sa mga oras ng liwanag kapag ang karga ay umaabot sa labas ng kama ng sasakyan.
4n0ng d4pat iwas4n k4g4ng 4n m4g4 dr4yv3r k4pag n4g-l4g4y ng st!ck3rs s4 m4g4 s4s4k!4n?,"Iwasan ang paggamit ng stickers na maling kumakatawan sa awtoridad, tulad ng mga medical o law enforcement stickers."
4n0ng p4rusa p4r4 s4 p4g-m4m4n3ho n4g w4ng w4st0ng pl4k4?,Maaaring harapin ng drayber ang mga legal na parusa o multa.
4n0ng !pin4gb4b4w k4g4ng p4g-m4m4n3ho g4m!t 4ng !m!t4t!0n l!c3ns3s 0r st!ck3rs?,Ang paggamit ng imitation o maling dokumento o sticker ay ilegal at may parusa ng batas.
4n0ng d4pat iwas4n ng 4s1ng dr4yv3r s4 p4g-g4m!t ng h!nd! k4ng p4g-h!h!nt4 s4 m4g4 h1ghw4y?,"Dapat iwasan ng mga drayber ang paghinto sa mga hindi nakatalagang lugar, dahil maaari itong magdulot ng hadlang sa trapiko."
4n0ng k4h!n4t4n4n ng p4g-l4g4y ng m4g4 p4s4h3r0 s4 !t4s ng s4s4k!4n 0r s4 m4g4 running b04rd?,Ito ay itinuturing na mapanganib at ipinagbabawal ng RA 4136.
What is the consquence of parking beside a fire hydrant?,"Your car may be damaged (e.g., windows broken), and you may face fines, community service, or incarceration."
"Wht shud you never allow while drving in regard to bicycles, motorcycles, or skate rollers?",Never allow them to hitch onto your vehicle.
What is probihited in terms of driving in the omcoming lane?,Counter-flowing is prohibited except in emergencies and overtaking.
What is requried when a vehicle load extends more than 1 meter beyound the vehicle bed?,"A red flag not less than 30 cm in length and width must be displayed, or red lights visible at least 50 meters away during certain hours."
Wat should a driver do if their vehicle has a load extnding beyond the vehicle bed during nighttime?,Use red lights visible at least 50 meters away instead of red flags.
Wen should the red flag lghts be switched on?,Not later than half an hour after sunset and until half an hour before sunrise.
What should drivers do in bad weater conditions concerning red flag lights?,Switch on both red flag lights.
What is the law regaridng mufflers in motor vehicles?,"All vehicles must have mufflers, and they should not be cut out or disconnected."
Why is it prohbited to disconnect or cut out mufflers?,It causes annoying noise and can distract other motorists and road users.
What is the rule regading vehicles with metallic or solid tires like bulldozers?,They should not be driven on public highways as they can damage cemented pavements.
How should large construction veicles like bulldozers be transportd on highways?,They should be loaded onto a large truck.
What should a driver do after being involvd in a road crash?,"Show your driver’s license, provide your real name and address, and aid the injured unless you are in danger or going to report the incident."
What are the three excpetions where a driver may leave the scene of a road crash?,"1) If the driver is in danger, 2) if they plan to report the crash to the police, and 3) if they call emergency responders."
What should a driver provide to a police oficer after a road crash?,"The driver’s license, real name, address, and, if applicable, the name and address of the vehicle owner."
Is parking alowed on sidewalks?,"No, parking on sidewalks is prohibited."
What should a driver do when drpping off or picking up passengers?,Drop off and load passengers only in designated loading and unloading zones.
What happens if a driver parks or maneuvers in prohibted areas like sidewalks?,The driver may obstruct the free passage of other vehicles and face penalties.
What is the consquence of counter-flow driving?,It may cause or worsen heavy traffic.
How far from a fire hydrant is parking prohibted?,Parking is prohibited within 4 meters of a fire hydrant.
"What color must brake lghts be, according to RA 4136?",Brake lights must be bright red.
How visible must tail lghts be under RA 4136?,Tail lights must be visible within 100 meters.
What color should the plate lmp be under RA 4136?,The plate lamp must be white.
How tall must top clearance lghts be according to RA 4136?,Top clearance lights must not exceed 10 cm in height.
What are the regulations for red lghts at the front of a motor vehicle?,Red lights are not allowed at the front of a motor vehicle.
"What is prohbited in terms of false represntation, as per RA 4136?","Sticking stickers that give undue preference, such as MD or media stickers, if the person is not actually a doctor or media practitioner."
What type of stckers are examples of false represntation?,"Medical Doctor (MD), media practitioner, or law enforcer/armed forces stickers."
What does Section 33 of RA 4136 requrire for passenger automobiles for hire?,The registered passenger capacity must be marked on both sides of the vehicle in letters and numerals not less than 5 cm in height.
What must be marked on motor trucks under Secton 33 of RA 4136?,The registered passenger gross and net weight capacities must be plainly and conspicuously marked on both sides of the truck.
"What are the reqirements for vehicle brakes, horns, motorcycles, and lamps under RA 4136?","These accessories, along with early warning devices, are required by law."
When can a pedestrian redirct a motorcyclist on the sidewalk?,"When the motorcyclist is illegally driving on the sidewalk, the pedestrian is right to redirect them to the correct lane."
What is the proper actin when a vehicle is carrying an extended load during daytim hours?,"Display a red flag at the end of the load, as specified by law."
What is the penlty for using unauthorized red lghts at the front of a motor vehicle?,It is illegal and could result in fines or penalties.
Why must brake lghts be brighter than tail lghts?,"For safety, so that other drivers can clearly distinguish when a vehicle is braking."
What is prohbited in terms of passengers on the top of a vehicle?,Allowing passengers to ride on the top of the vehicle is prohibited.
Can passengers ride on the runing boards (stepping boards) of a vehcle?,"No, passengers should not be allowed on the running boards."
What size should the leters and numerals be for marking a vehicle’s capacity?,At least 5 cm in height.
"What should be done if a vehcle emits unnecssary noise, smoke, or odor?","It must be repaired or adjusted, as it is against the law to operate in such a condition."
How should motor vehciles eqipped with solid tires be handled on public roads?,They should not be driven on public highways but instead transported on a large truck.
What is the consquence of obstructing pedstrian zones like sidewalks or alleys?,The driver may face penalties for violating traffic rules and creating an obstruction.
What should be done with large construction vehciles when moving them over paved roads?,They should be loaded onto a large truck to prevent damage to the pavement.
What should be done if you see a red flag on a vehicle’s load?,"Be cautious, as it indicates that the load extends more than 1 meter beyond the vehicle bed."
When should you call emergecny responders after a road crash?,"If there are injuries and you are unable to assist yourself, calling emergency responders is a valid reason to leave the scene."
What is the penlty for pretending to be a law enforcer using vehicle stickers?,The driver could face serious charges for false representation.
What is requried for safe trasnportation of freight or passengers in motor trucks?,The truck must display the registered gross and net weight capacities on both sides.
What happens if a driver does not aid an injurd person after a road crash?,The driver may face legal consequences for not providing assistance.
Is it alowed to park a vehicle within 6 metrs of an intersection?,"No, parking within 6 meters of an intersection is prohibited."
"When must the red flag lghts be used, in additon to regular lights?",During rain or bad weather conditions.
What are the penlties for violating RA 4136 regarding vehicle accesories?,Fines or other legal penalties may be imposed for non-compliance.
What is the frst thing to remembr to avoid parking-related issues?,Know the areas where parking is prohibited.
What is the consquence of parking in front of a private drivewy?,You may be fined or have your car towed.
Where is it prohibted to park in relatoin to intersections?,Parking is prohibited within 6 meters of an intersection.
How far must you park from a drivewy entrance?,At least 4 meters from a driveway entrance.
Where must a red flag be plaaced when the load extends beyound the vehicle body?,At every projecting end of the load.
How large should the red flag be when placed on an extnded vehicle load?,At least 30 cm in length and width.
During what hours shold red lights replace red flags on a load?,"During the hours specified under subsection, typically from sunset to sunrise."
What is the main responsibilty of a driver in case of a road crash?,"To show their driver’s license, provide identification, and aid the injured."
What are the conditions undr which a driver can leave the sceen of a road crash?,"If the driver is in danger, reporting the crash to the police, or calling for medical assistance."
What must a driver provde to authorities after a road crash?,"The driver’s license, real name, address, and information about the vehicle owner if applicable."
What law covers traffic and parking regualtions in the Philippines?,"Republic Act (RA) 4136, also known as the Transportation and Traffic Code."
What are the conseqences of counter-flowing in traffic?,It can lead to worsening traffic conditions and potential penalties.
What is the proper way to load or unlood passengers in public transport?,Only in designated loading and unloading zones.
What happens if a driver maneuvers a vehicle in areas not intented for traffic or parking?,The driver may face penalties for obstructing traffic or violating road rules.
What must be displyed on vehicles for hire concerning their pasenger capacity?,The registered passenger capacity must be marked on both sides in letters and numerals not less than 5 cm in height.
What is the law regaridng driving large construction vehicles like backhoes on public highways?,These vehicles should not be driven on public highways to avoid damaging the pavement.
What should be done to transport large construciton vehicles like cranes?,Load them onto a large truck for transport.
What should drivers avoid when driving near bicycles or motorcyles?,Avoid sudden braking and ensure that bicycles or motorcycles do not hitch onto the vehicle.
What should be done if a vehicle’s muffler is cut out or disconected?,"It should be fixed immediately, as disconnected mufflers create noise and are illegal."
What is the purpose of using red lghts on extended vehicle loads during nighttime?,"To ensure the visibility of the vehicle's load to other drivers, reducing the risk of accidents."
Why are solid tires on construction vehicles prohbited on highways?,They can damage the cemented pavements of highways.
What is the penaly for not aiding an injured person after a road crash?,"Legal consequences, which may include fines or imprisonment, for failing to provide aid."
What is the role of mufflers on motr vehicles?,To reduce noise and emissions from the vehicle’s engine.
What are the conseqences of using a disconnected muffler in a populatd area?,It creates noise pollution and can result in penalties.
What should drivers ensur when driving in heavy rain or bad weather?,Both red flag lights should be switched on for safety.
